"publication_id","publication_code","study_id","group_description","between_id","observation_id","dataset_id","subject","block","trial","condition_id","congruency","accuracy","rt"
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598607,40,6532,1,4,63,2,0,0.831
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598609,40,6532,1,6,63,2,1,0.701
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598610,40,6532,1,7,63,2,1,0.838
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598611,40,6532,1,8,63,2,1,0.659
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598612,40,6532,1,9,63,1,1,0.739
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598613,40,6532,1,10,63,2,0,0.717
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598615,40,6532,1,12,63,1,1,0.67
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598616,40,6532,1,13,63,1,1,0.626
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598618,40,6532,1,15,63,2,1,0.591
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598619,40,6532,1,16,63,1,1,0.589
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598620,40,6532,1,17,63,2,1,0.835
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598621,40,6532,1,18,63,1,1,0.663
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598622,40,6532,1,19,63,2,1,0.911
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598623,40,6532,1,20,63,1,1,0.557
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598624,40,6532,1,21,63,1,1,0.843
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598626,40,6532,1,23,63,1,1,0.558
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598627,40,6532,1,24,63,2,1,0.819
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598628,40,6532,1,25,63,1,1,0.575
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598629,40,6532,1,26,63,1,1,0.461
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598630,40,6532,1,27,63,1,1,0.504
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598631,40,6532,1,28,63,1,1,0.508
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598632,40,6532,1,29,63,2,1,0.664
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598635,40,6532,1,32,63,2,1,0.547
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598636,40,6532,1,33,63,1,1,0.609
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598638,40,6532,1,35,63,1,1,0.48
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598639,40,6532,1,36,63,1,1,0.555
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598641,40,6532,1,38,63,2,1,0.892
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598642,40,6532,1,39,63,1,1,0.59
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598643,40,6532,1,40,63,2,1,0.492
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598644,40,6532,1,41,63,2,1,0.479
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598645,40,6532,1,42,63,2,1,0.579
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598646,40,6532,1,43,63,1,1,0.472
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598647,40,6532,1,44,63,2,1,1.083
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598648,40,6532,1,45,63,2,1,0.734
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598650,40,6532,1,47,63,1,1,0.686
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598651,40,6532,1,48,63,2,1,0.703
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598654,40,6532,1,51,63,1,1,0.634
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598655,40,6532,1,52,63,2,1,0.585
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598657,40,6532,1,54,63,2,1,0.747
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598659,40,6532,1,56,63,2,0,0.727
9,"vonbastiaan_2015_evidence",31,"University students (Swiss)",32,1598660,40,6532,1,57,63,2,1,0.817
